q|0.25
2|0.25
x|0.25
2|0.25
m|0.25
/|0.25
v|0.25
3|0.25
m|0.25
/|0.25
b|0.25
e|0.25
.|0.25
]|0.25
.|0.25
6|0.125
]|0.375
e|0.25
.|0.25
6|0.25
q|0.25
2|0.25
m|0.25
5|0.25
q|0.25
2|0.25
3|0.25
f|0.25
5|0.25
y|0.25
2|0.25
s|0.25
5|0.25
y|0.25
2|0.25
s|0.25
3|0.25
5|0.25
q|0.25
a|0.25
3|0.25
5|0.25
q|0.25
a|0.25
3|0.25
5|0.25
q|0.25
a|0.25
3|0.25
5|0.25
q|0.25
a|0.25
3|0.25
5|0.25
]|0.25
u|0.125
3|0.375
5|0.25
]|0.25
u|0.25
3|0.25
5|0.25
[|0.25
7|0.125
3|0.25
5|0.375
[|0.25
7|0.25
3|0.25
5|0.25
/|0.25
y|0.25
3|0.25
5|0.25
/|0.25
y|0.25
3|0.25
5|0.25
/|0.25
y|0.25
3|0.25
5|0.25
q|0.25
a|0.25
3|0.25
5|0.25
]|0.25
u|0.25
3|0.25
5|0.25
]|0.25
u|0.125
3|0.375
5|0.25
[|0.25
7|0.125
3|0.375
5|0.25
[|0.375
7|0.25
3|0.375
5|0.375
/|0.25
y|0.375
3|0.375
5|0.375
/|0.25
y|0.25
3|0.375
5|0.375
.|0.25
6|0.375
3|0.375
5|0.625
.|0.25
/|0.375
.|0.25
,|0.25
.|0.25
2|0.25
e|0.25
3|0.25
2|0.25
3|0.25
2|0.25
q|0.25
2|0.25
e|0.25
6|0.5
.|0.25
/|0.25
.|0.25
,|0.25
.|0.25
2|0.25
e|0.25
3|0.25
2|0.25
3|0.25
2|0.25
q|0.25
2|0.25
e|0.25
6|0.5
/|0.25
2|0.25
3|0.25
5|0.25
y|0.25
s|0.25
f|0.25
-|0.25
;|0.25
l|0.25
j|0.25
g|0.25
f|0.25
j|0.25
s|0.25
a|0.25
f|0.25
y|0.25
6|0.25
5|0.25
y|0.25
e|0.25
3|0.25
5|0.25
2|0.25
q|0.25
3|0.25
/|0.25
.|0.25
]|0.25
/|0.5
.|0.25
/|0.25
.|0.25
,|0.25
.|0.25
2|0.25
e|0.25
3|0.25
2|0.25
3|0.25
2|0.25
q|0.25
2|0.25
e|0.25
6|0.25
e|0.25
3|0.25
e|0.25
3|0.25
w|0.25
3|0.25
5|0.25
y|0.25
5|0.25
r|0.25
5|0.25
r|0.25
e|0.25
r|0.25
6|0.25
s|0.5
2|0.25
w|0.25
2|0.25
q|0.25
2|0.25
5|0.25
y|0.25
5|0.25
r|0.25
5|0.25
r|0.25
e|0.25
r|0.25
6|0.25
s|0.25
6|0.25
5|0.25
6|0.25
5|0.25
r|0.25
5|0.25
y|0.25
s|0.25
y|0.25
6|0.25
y|0.25
6|0.25
t|0.25
6|0.25
a|0.25
f|0.25
6|0.25
y|0.25
6|0.25
t|0.25
6|0.25
g|0.25
f|0.25
d|0.25
s|0.25
a|0.25
u|0.25
7|0.25
y|0.25
6|0.25
t|0.25
5|0.25
6|0.25
y|0.25
6|0.25
t|0.25
6|0.25
g|0.25
f|0.25
d|0.25
s|0.25
a|0.25
u|0.25
7|0.25
y|0.25
6|0.25
t|0.25
5|0.25
6|0.5
l|0.25
k|0.25
j|0.25
h|0.25
g|0.25
f|0.25
d|0.25
s|0.25
a|0.25
u|0.25
7|0.25
y|0.25
6|0.25
t|0.25
5|0.25
r|0.25
e|0.25
3|0.25
w|0.25
2|0.25
q|0.25
]|0.25
[|0.25
/|0.25
.|0.25
,|0.25
m|0.25
b|0.25
v|0.25
x|1
